SessionId,ItemId,Time
59,140,1396801491.351
60,284,1396801528.461
61,127,1396801690.089
62,221,1396801690.993
62,42,1396801865.801
62,43,1396802416.894
62,47,1396765657.549
62,285,1396765760.271
62,286,1396806569.761
62,1,1396806571.759
62,14,1396806711.451
62,264,1396806712.276
63,227,1396806713.640
63,287,1396806824.768
63,288,1396752488.365
63,289,1396752521.244
63,267,1396801840.331
63,290,1396801976.351
63,287,1396802019.537
63,284,1396802056.703
63,175,1396807567.457
63,219,1396807571.148
64,174,1396807608.089
64,175,1396807609.325
64,155,1396814444.594
64,57,1396814558.552
64,118,1396814878.933
64,201,1396815248.026
65,51,1396815620.564
66,16,1396815795.448
67,114,1396815817.738
68,194,1396815862.668
69,76,1396815960.999
70,52,1396816033.740
70,291,1396816124.299
70,292,1396816187.328
70,127,1396801786.452
70,110,1396801832.479
71,126,1396795551.859
71,293,1396795607.503
71,125,1396795619.667
71,21,1396795637.527
71,22,1396795645.356
71,23,1396780593.398
72,21,1396780625.577
73,140,1396754118.285
73,175,1396754142.535
73,174,1396754311.069
73,227,1396807624.303
73,252,1396807671.797
73,282,1396773744.693
74,50,1396775616.962
74,219,1396784929.469
74,135,1396785044.965
75,93,1396767949.990
75,26,1396768282.877
75,130,1396768312.284
76,287,1396775761.642
76,97,1396775787.811
76,311,1396795773.950
77,132,1396795915.030
77,45,1396815074.243
78,140,1396815246.081
78,55,1396812357.770
78,294,1396812532.439
79,79,1396812571.523
79,234,1396812676.756
79,174,1396812742.643
79,140,1396789973.185
79,113,1396790334.082
79,235,1396791167.356
79,229,1396791168.570
79,49,1396794462.468
79,295,1396794517.790
79,91,1396795196.460
79,43,1396795552.516
79,277,1396797824.891
79,79,1396798213.148
80,187,1396808717.205
81,264,1396808876.748
81,171,1396808976.929
82,207,1396809087.908
82,31,1396809196.961
83,166,1396770535.845
83,284,1396770748.384
83,37,1396773563.646
84,79,1396773600.112
85,174,1396773632.608
85,170,1396775539.906
85,165,1396775697.188
85,79,1396775700.333
85,107,1396799158.021
85,254,1396799191.257
85,52,1396799223.405
85,296,1396799636.358
85,196,1396799803.337
85,246,1396773879.322
85,1,1396773990.272
85,73,1396784889.656
85,310,1396784905.007
85,213,1396785002.817
86,35,1396785030.890
87,174,1396785131.908
87,297,1396785256.271
87,8,1396785265.329
87,186,1396785426.551
87,210,1396785628.516
87,76,1396786357.958
87,172,1396786476.594
87,262,1396756579.740
87,127,1396756614.710
87,86,1396776402.626
87,110,1396776402.779
87,106,1396778851.666
87,200,1396778854.391
87,206,1396794915.337
87,252,1396794915.339
87,144,1396794915.343
87,248,1396797159.343
87,192,1396797159.345
87,309,1396797159.533
87,73,1396798665.818
87,8,1396798667.249
87,14,1396798667.573
87,80,1396770212.374
87,49,1396770316.670
88,26,1396770327.870
88,210,1396796402.197
89,113,1396796595.276
89,140,1396812903.063
89,79,1396812938.103
89,268,1396783648.413
89,228,1396784136.950
90,308,1396784227.375
91,164,1396761940.088
91,218,1396761997.946
91,64,1396765306.523
91,26,1396765336.790
91,307,1396811585.802
92,196,1396811676.180
93,79,1396810113.333
93,174,1396810182.917
93,263,1396792649.495
93,88,1396792966.317
93,306,1396796107.184
93,81,1396796385.509
93,93,1396796608.813
93,298,1396798785.846
93,225,1396798786.952
93,217,1396776727.377
93,20,1396777298.528
93,150,1396796809.142
93,253,1396796946.948
93,21,1396814933.360
93,145,1396814940.190
93,140,1396816425.743
93,174,1396816536.439
93,175,1396758416.849
93,129,1396758472.691
93,48,1396793361.593
93,298,1396793412.006
93,221,1396793512.450
94,311,1396793779.973
95,175,1396793828.772
95,164,1396794269.564
95,179,1396794353.092
95,129,1396794842.676
96,24,1396794892.494
97,186,1396794950.937
97,305,1396795080.145
98,145,1396795136.752
98,14,1396795222.531
98,173,1396795245.794
98,304,1396770556.236
98,303,1396770601.817
98,302,1396771378.440
98,301,1396771418.751
98,300,1396808518.444
98,299,1396808519.677
98,114,1396770989.662
98,123,1396771047.114
98,205,1396771092.847
98,298,1396771095.382
98,47,1396771127.717
